Equipe,Matchs_Joues,Victoires,Nuls,Defaites,Buts_Pour,Buts_Contre,Diff_Buts,Tirs,Tirs_Cadres,Corners,Fautes,Cartons_Jaunes,Cartons_Rouges,Points,Buts_Par_Match,Tirs_Cadres_Pct,Pct_Victoires
Paris SG,25,18,3,4,54,22,32,448,171,151,253,23,1,57,2.16,38.2,72.0
Lens,26,18,2,6,49,23,26,394,136,152,347,51,4,56,1.88,34.5,69.2
Marseille,26,15,4,7,53,33,20,372,144,129,335,60,4,49,2.04,38.7,57.7
Lyon,26,14,5,7,40,27,13,312,120,141,353,51,6,47,1.54,38.5,53.8
Lille,26,13,5,8,40,33,7,365,116,157,296,58,6,44,1.54,31.8,50.0
Rennes,26,12,7,7,43,37,6,339,117,139,324,45,4,43,1.65,34.5,46.2
Monaco,26,13,4,9,45,37,8,313,111,122,334,58,6,43,1.73,35.5,50.0
Strasbourg,26,10,7,9,40,31,9,292,115,107,295,50,5,37,1.54,39.4,38.5
Lorient,26,9,10,7,37,40,-3,301,101,84,253,44,1,37,1.42,33.6,34.6
Brest,26,10,6,10,34,36,-2,300,95,109,344,45,4,36,1.31,31.7,38.5
Toulouse,26,9,7,10,37,32,5,345,118,125,372,59,2,34,1.42,34.2,34.6
Angers,26,9,5,12,23,32,-9,245,87,94,293,38,1,32,0.88,35.5,34.6
Paris FC,26,6,10,10,29,41,-12,296,93,109,294,54,3,28,1.12,31.4,23.1
Nice,26,7,6,13,32,48,-16,302,109,134,325,59,2,27,1.23,36.1,26.9
Le Havre,26,6,9,11,20,32,-12,283,88,115,345,46,3,27,0.77,31.1,23.1
Auxerre,26,4,7,15,19,36,-17,277,83,126,350,57,6,19,0.73,30.0,15.4
Nantes,25,4,5,16,22,42,-20,258,69,79,317,51,1,17,0.88,26.7,16.0
Metz,26,3,4,19,25,60,-35,248,81,106,298,42,4,13,0.96,32.7,11.5
