Equipe_A,Equipe_B,diff_Buts_Par_Match,diff_Tirs_Cadres_Pct,diff_Pct_Victoires,diff_Diff_Buts,diff_Corners,diff_Fautes,diff_Cartons_Jaunes,diff_Cartons_Rouges,diff_Points,sum_Buts_Par_Match,sum_Tirs_Cadres_Pct,Resultat,Total_Buts,Over2_5,BTTS
Rennes,Marseille,-0.39,-4.2,-11.5,-0.538,0.384,-0.423,-0.577,0.0,-6.0,3.69,73.2,1,1,0,0
Lens,Lyon,0.34,-4.0,15.4,0.5,0.423,-0.231,0.0,-0.077,9.0,3.42,73.0,-1,1,0,0
Monaco,Le Havre,0.96,4.4,26.9,0.77,0.269,-0.423,0.462,0.116,16.0,2.5,66.6,1,4,1,1
Nice,Toulouse,-0.19,1.9,-7.7,-0.807,0.346,-1.808,0.0,0.0,-7.0,2.65,70.3,-1,1,0,0
Brest,Lille,-0.23,-0.1,-11.5,-0.346,-1.846,1.846,-0.5,-0.077,-8.0,2.85,63.5,0,6,1,1
Angers,Paris FC,-0.24,4.1,11.5,0.116,-0.577,-0.039,-0.615,-0.077,4.0,2.0,66.9,1,1,0,0
Auxerre,Lorient,-0.69,-3.6,-19.2,-0.539,1.615,3.731,0.5,0.193,-18.0,2.15,63.6,1,1,0,0
Metz,Strasbourg,-0.58,-6.7,-27.0,-1.692,-0.038,0.116,-0.308,-0.038,-24.0,2.5,72.1,-1,1,0,0
Nantes,Paris SG,-1.28,-11.5,-56.0,-2.08,-2.88,2.56,1.12,0.0,-40.0,3.04,64.9,-1,1,0,0
Paris SG,Angers,1.28,2.7,37.4,1.626,2.425,-1.149,-0.542,0.002,25.0,3.04,73.7,1,1,0,0
Marseille,Paris FC,0.92,7.3,34.6,1.231,0.77,1.577,0.231,0.039,21.0,3.16,70.1,1,7,1,1
Nice,Auxerre,0.5,6.1,11.5,0.039,0.308,-0.962,0.077,-0.154,8.0,1.96,66.1,1,4,1,1
Lyon,Metz,0.58,5.8,42.3,1.846,1.346,2.115,0.347,0.077,34.0,2.5,71.2,1,3,1,0
Lorient,Rennes,-0.23,-0.9,-11.6,-0.346,-2.115,-2.731,-0.039,-0.116,-6.0,3.07,68.1,1,4,1,0
Le Havre,Lens,-1.11,-3.4,-46.1,-1.462,-1.423,-0.077,-0.193,-0.039,-29.0,2.65,65.6,-1,3,1,1
Strasbourg,Nantes,0.66,12.7,22.5,1.146,0.955,-1.334,-0.117,0.152,20.0,2.42,66.1,1,1,0,0
Toulouse,Brest,0.11,2.5,-3.9,0.269,0.616,1.077,0.538,-0.077,-2.0,2.73,65.9,1,2,0,0
Lille,Monaco,-0.19,-3.7,0.0,-0.039,1.346,-1.461,0.0,0.0,1.0,3.27,67.3,1,1,0,0
Lens,Brest,0.57,2.8,30.7,1.077,1.654,0.115,0.231,0.0,20.0,3.19,66.2,1,4,1,1
Lorient,Lille,-0.12,1.8,-15.4,-0.384,-2.807,-1.654,-0.539,-0.193,-7.0,2.96,65.4,-1,8,1,1
Nantes,Auxerre,0.15,-3.3,0.6,-0.146,-1.686,-0.782,-0.152,-0.191,-2.0,1.61,56.7,1,1,0,0
Toulouse,Paris SG,-0.74,-4.0,-37.4,-1.088,-1.232,4.188,1.349,0.037,-23.0,3.58,72.4,-1,9,1,1
Angers,Rennes,-0.77,1.0,-11.6,-0.577,-1.731,-1.193,-0.269,-0.116,-11.0,2.53,70.0,0,2,0,1
Le Havre,Nice,-0.46,-5.0,-3.8,0.153,-0.731,0.769,-0.5,0.038,0.0,2.0,67.2,1,4,1,1
Monaco,Strasbourg,0.19,-3.9,11.5,-0.038,0.577,1.5,0.308,0.039,6.0,3.27,74.9,1,5,1,1
Paris FC,Metz,0.16,-1.3,11.6,0.884,0.115,-0.154,0.462,-0.039,15.0,2.08,64.1,1,5,1,1
Lyon,Marseille,-0.5,-0.2,-3.9,-0.269,0.461,0.692,-0.346,0.077,-2.0,3.58,77.2,1,1,0,0
Marseille,Lorient,0.62,5.1,23.1,0.884,1.731,3.154,0.616,0.116,12.0,3.46,72.3,1,4,1,0
Nice,Nantes,0.35,9.4,10.9,0.185,1.994,-0.18,0.229,0.037,10.0,2.11,62.8,1,1,0,0
Auxerre,Monaco,-1.0,-5.5,-34.6,-0.962,0.154,0.616,-0.039,0.0,-24.0,2.46,65.5,-1,3,1,1
Lille,Toulouse,0.12,-2.4,15.4,0.077,1.23,-2.923,-0.038,0.154,10.0,2.96,66.0,1,3,1,1
Brest,Paris FC,0.19,0.3,15.4,0.385,0.0,1.923,-0.346,0.039,8.0,2.43,63.1,-1,3,1,1
Metz,Angers,0.08,-2.8,-23.1,-1.0,0.462,0.193,0.153,0.116,-19.0,1.84,68.2,0,2,0,1
Paris SG,Lens,0.28,3.7,2.8,0.28,0.194,-3.226,-1.042,-0.114,1.0,4.04,72.7,1,2,0,0
Strasbourg,Le Havre,0.77,8.3,15.4,0.808,-0.308,-1.923,0.154,0.077,10.0,2.31,70.5,1,1,0,0
Rennes,Lyon,0.11,-4.0,-7.6,-0.269,-0.077,-1.115,-0.231,-0.077,-4.0,3.19,73.0,1,4,1,1
Lyon,Angers,0.66,3.0,19.2,0.846,1.808,2.308,0.5,0.193,15.0,2.42,74.0,1,1,0,0
Nantes,Rennes,-0.77,-7.8,-30.2,-1.031,-2.186,0.218,0.309,-0.114,-26.0,2.53,61.2,0,4,1,1
Brest,Nice,0.08,-4.4,11.6,0.538,-0.962,0.731,-0.538,0.077,9.0,2.54,67.8,1,5,1,1
Lens,Lille,0.34,2.7,19.2,0.731,-0.192,1.961,-0.269,-0.077,12.0,3.42,66.3,1,3,1,0
Paris FC,Strasbourg,-0.42,-8.0,-15.4,-0.808,0.077,-0.038,0.154,-0.077,-9.0,2.66,70.8,-1,5,1,1
Auxerre,Toulouse,-0.69,-4.2,-19.2,-0.846,0.038,-0.846,-0.077,0.154,-15.0,2.15,64.2,1,1,0,0
